,id,month,year,document_type,headline,byline,page,pub_date,word_count
130,4fc0532945c1498b0d250e96,1,1905,article,On South Pacific Isles.; UNDER TROPIC SKIES. By Louis Becke. One volume. Pp. 312. Philadelphia: J.R. Lippincott Company.,na,BR27,1905-01-14T00:00:00Z,502
131,4fc047fa45c1498b0d220018,1,1905,article,"""The Sea-Wolf.""",E.F. ALLEN,BR27,1905-01-14T00:00:00Z,215
132,4fc0499e45c1498b0d226ca4,1,1905,article,Three Governesses.; THREE DUKES. By G. Ystridde. 12mo. Pp. 407. New York: G.P. Putnam's Sons. $1.20.,na,BR20,1905-01-14T00:00:00Z,399
133,4fc0532945c1498b0d250e95,1,1905,article,Letters of Mme. de Maintenon.,na,BR24,1905-01-14T00:00:00Z,357
134,4fc054cf45c1498b0d258bdf,1,1905,article,"POLITICIANS.; ESSAYS ON MEN, THINGS, AND EVENTS HISTORICAL, PERSONAL, POLITICAL. Including Essays on Roscoe Conkling, Thaddeus Stevens, Matthew H. Carpenter, Andrew Johnson, John J. Ingalis, Seargent S. Prentiss, Oliver P. Morton, Lucius Q.C. Lamar, Samuel J. Tilden, the Family of Field, Marcus A. Hanna, Thomas B. Reed, Benjamin H. Hill, George P. Hoar, Frank Wolford, Stephen A. Douglas, Thomas C. Platt. By Savoyard. With portraits. 12mo. Pp. 287. New York and Washington: The Neale Publishing Company.",na,BR19,1905-01-14T00:00:00Z,779
135,4fc03b9245c1498b0d1e8728,1,1905,article,"Galloway.; RAIDERLAND. All About Grey Galloway, Its Stories, Traditions, Characters, Humors. By S.R. Crockett. With Illustrations by Joseph Pennell. 12mo. Pp. 359. New York: Dodd, Mead & Co. $2.",na,BR29,1905-01-14T00:00:00Z,625
136,4fc03b9245c1498b0d1e8738,1,1905,article,A POPULAR HISTORY.; The First Volume of a New Work Edited by Elroy McKendree Avery.*,na,BR20,1905-01-14T00:00:00Z,1295
137,4fc054cf45c1498b0d258bcf,1,1905,article,The Rev. John White Chadwick.,ALICE R. CARPENTER,BR26,1905-01-14T00:00:00Z,500
138,4fc054cf45c1498b0d258bd5,1,1905,article,Walker of Nicaragua.,H.L. WILLIAMS,BR27,1905-01-14T00:00:00Z,116
139,4fc054cf45c1498b0d258bde,1,1905,article,Mrs. Clay of Alabama.,na,BR23,1905-01-14T00:00:00Z,79
140,4fc054cf45c1498b0d258be4,1,1905,article,Review 3 -- No Title,na,BR17,1905-01-14T00:00:00Z,177
141,4fc03b9245c1498b0d1e8739,1,1905,article,A COUNTRY DIARY.; A Quaint and Droll Book About English Rural Life.*,na,BR19,1905-01-14T00:00:00Z,922
142,4fc0499e45c1498b0d226cab,1,1905,article,"""The Boy and the Outlaw.""",J.P,BR27,1905-01-14T00:00:00Z,294
143,4fc0532945c1498b0d250e8d,1,1905,article,"""In the Closed Room.""",na,BR23,1905-01-14T00:00:00Z,43
144,4fc0532945c1498b0d250e93,1,1905,article,"A Rejected Manuscript.; A COUNTRY GIRL. By Charles B. Holmes, Author of ""Elsieville."" Limited edition of twenty-five copies. Printed, not published, by the author, at 395 Macon Street, Brooklyn.",na,BR32,1905-01-14T00:00:00Z,302
145,4fc054cf45c1498b0d258bd4,1,1905,article,BOOKBINDING.; Progress in the Art During the Past Year -- Exhibitions of Bookbindings. FIRST ARTICLE.,W.G. BOWDOIN,BR20,1905-01-14T00:00:00Z,1352
146,4fc054cf45c1498b0d258bdd,1,1905,article,All About Amy Robsart.,GEORGE FORRESTER,BR27,1905-01-14T00:00:00Z,119
147,4fc0532945c1498b0d250e8c,1,1905,article,Shaw the Lifeguardsman.,H.L. WILLIAMS,BR26,1905-01-14T00:00:00Z,506
148,4fc054cf45c1498b0d258bdc,1,1905,article,SCIENCE OF RELIEF.,na,BR24,1905-01-14T00:00:00Z,771
149,4fc054cf45c1498b0d258be2,1,1905,article,"""The Eagle's Shadow.""",R.L. YEATS,BR26,1905-01-14T00:00:00Z,647
150,4fc045fd45c1498b0d216341,1,1905,article,The Art of Illustration.,na,BR22,1905-01-14T00:00:00Z,271
151,4fc0528045c1498b0d24e541,1,1905,article,"Literary Reminiscences.; RETROSPECTS. By William Knight, Emeritus Professor of Philosophy in the University of St. Andrew's. 8vo. Pp. 310- New York: Imported by Charles Seribner's Sons. $2.25.",na,BR29,1905-01-14T00:00:00Z,763
152,4fc0532945c1498b0d250e90,1,1905,article,"PLAYS TO READ.; Mr. Aldrich's Poetic Drama and Mr. G.C. Lodge's ""Cain.""*",na,BR18,1905-01-14T00:00:00Z,748
153,4fc045fd45c1498b0d216351,1,1905,article,"Carlyle on Scott's ""Napoleon.""",na,BR27,1905-01-14T00:00:00Z,110
154,4fc054cf45c1498b0d258bd0,1,1905,article,Bryant and Prescott.,na,BR20,1905-01-14T00:00:00Z,195
155,4fc054d045c1498b0d258d6c,1,1905,article,"NEW MUSICAL PIECE SEEN AT THE LYRIC; Song and Dance, Girls, and Millinery Make ""Fantana."" KATIE BARRY'S SPECIALTY Jefferson De Angelis and His Company Satisfy Popular Demands -- Rich Scenes and Costumes.",na,9,1905-01-15T00:00:00Z,978
156,4fc03b9645c1498b0d1e8de7,1,1905,article,"PLEA FOR FREE TRADE IN MUSICAL COMEDY; ""Duchess of Dantzig"" Suggests Oliver's Cry for ""More."" A REJUVENATED SANS GENE Evie Greene, Holbrook Blinn, and Lawrence Rea Score Individual Successes in Play at Daly's.",na,5,1905-01-17T00:00:00Z,775
157,4fc045fd45c1498b0d2163c4,1,1905,article,"Bacon's Rebellion.; THE CROMWELL OF VIRGINIA. A Story of Bacon's Rebellion. By Edward S. Ellis, A.M., Author of ""An American King."" 12mo. Pp. 380. Philadelphia: Henry T. Coates & Co. $1.",na,BR42,1905-01-21T00:00:00Z,293
158,4fc045fd45c1498b0d2163cd,1,1905,article,"Autobiography of a Dog.; THE DOG. By G.E. Mitton, Author of ""The Children's Book of London,"" &c. Third of a Series of Animal Biographies. 8vo. Pp. vi.-20s. New York: The Macmillan Company. $2.",na,BR43,1905-01-21T00:00:00Z,655
159,4fc0532945c1498b0d250ed3,1,1905,article,Putnams' Sale of Books.,na,BR36,1905-01-21T00:00:00Z,49
160,4fc045fd45c1498b0d2163bf,1,1905,article,New Golden Treasury Books.,na,BR41,1905-01-21T00:00:00Z,362
161,4fc045fd45c1498b0d2163c5,1,1905,article,Victor Hugo and Juliette Drouet.,na,BR41,1905-01-21T00:00:00Z,174
162,4fc045fd45c1498b0d2163cf,1,1905,article,Letters of Erasmus.,na,BR40,1905-01-21T00:00:00Z,160
163,4fc0499e45c1498b0d226cf6,1,1905,article,Progress in the Art During the Past Year -- Exhibitions of Bookbinding.; SECOND ARTICLE.,W.G. BOWDOIN,BR48,1905-01-21T00:00:00Z,1553
164,4fc0499e45c1498b0d226cff,1,1905,article,"Praise for ""The Grito.""",J.S. MOORE,BR42,1905-01-21T00:00:00Z,407
165,4fc045fd45c1498b0d2163c7,1,1905,article,Panama Canal History.,na,BR41,1905-01-21T00:00:00Z,280
166,4fc0471145c1498b0d21b24a,1,1905,article,For Authors.,na,BR45,1905-01-21T00:00:00Z,126
167,4fc0499e45c1498b0d226cf5,1,1905,article,"Some Criticism of Joseph Conrad and His Critics -- Nostromo, the ""Vanishing Hero.""",N.U. OVERLAND,BR42,1905-01-21T00:00:00Z,1020
